Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Joplin, MO-KS Metropolitan Statistical Area",240
"Kansas City, MO-KS Metropolitan Statistical Area","4,247"
"Lawrence, KS Metropolitan Statistical Area",190
"Manhattan, KS Metropolitan Statistical Area",235
"St. Joseph, MO-KS Metropolitan Statistical Area",181
"Topeka, KS Metropolitan Statistical Area",416
"Wichita, KS Metropolitan Statistical Area","1,085"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
