Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Bowling Green, KY Metropolitan Statistical Area",212
"Cincinnati, OH-KY-IN Metropolitan Statistical Area","4,477"
"Clarksville, TN-KY Metropolitan Statistical Area",730
"Corbin, KY Micropolitan Statistical Area",164
"Elizabethtown, KY Metropolitan Statistical Area",181
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",405
"Lexington-Fayette, KY Metropolitan Statistical Area",960
"Louisville/Jefferson County, KY-IN Metropolitan Statistical Area","2,653"
"Owensboro, KY Metropolitan Statistical Area",120
"Paducah, KY-IL Metropolitan Statistical Area",184
"Richmond-Berea, KY Micropolitan Statistical Area",145
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
