Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Augusta-Waterville, ME Micropolitan Statistical Area",147
"Bangor, ME Metropolitan Statistical Area",174
"Lewiston-Auburn, ME Metropolitan Statistical Area",139
"Portland-South Portland, ME Metropolitan Statistical Area",806
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
