Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Baltimore-Columbia-Towson, MD Metropolitan Statistical Area","8,940"
"Hagerstown-Martinsburg, MD-WV Metropolitan Statistical Area",502
"Lexington Park, MD Metropolitan Statistical Area",427
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","28,438"
"Salisbury, MD Metropolitan Statistical Area",239
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","19,689"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
