Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Amherst Town-Northampton, MA Metropolitan Statistical Area",372
"Barnstable Town, MA Metropolitan Statistical Area",550
"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","19,929"
"Pittsfield, MA Metropolitan Statistical Area",246
"Providence-Warwick, RI-MA Metropolitan Statistical Area","5,422"
"Springfield, MA Metropolitan Statistical Area","1,400"
"Worcester, MA Metropolitan Statistical Area","2,561"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
