Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Ann Arbor, MI Metropolitan Statistical Area",771
"Battle Creek, MI Metropolitan Statistical Area",196
"Bay City, MI Metropolitan Statistical Area",119
"Detroit-Warren-Dearborn, MI Metropolitan Statistical Area","15,687"
"Flint, MI Metropolitan Statistical Area",932
"Grand Rapids-Wyoming-Kentwood, MI Metropolitan Statistical Area","1,742"
"Holland, MI Micropolitan Statistical Area",95
"Jackson, MI Metropolitan Statistical Area",206
"Kalamazoo-Portage, MI Metropolitan Statistical Area",474
"Lansing-East Lansing, MI Metropolitan Statistical Area",706
"Monroe, MI Metropolitan Statistical Area",208
"Muskegon-Norton Shores, MI Metropolitan Statistical Area",291
"Niles, MI Metropolitan Statistical Area",240
"Saginaw, MI Metropolitan Statistical Area",280
"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area",475
"Traverse City, MI Metropolitan Statistical Area",178
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
