Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Duluth, MN-WI Metropolitan Statistical Area",269
"Fargo, ND-MN Metropolitan Statistical Area",378
"Grand Forks, ND-MN Metropolitan Statistical Area",100
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",152
"Mankato, MN Metropolitan Statistical Area",103
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area","5,552"
"Rochester, MN Metropolitan Statistical Area",233
"Sioux Falls, SD-MN Metropolitan Statistical Area",352
"St. Cloud, MN Metropolitan Statistical Area",178
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
