Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Gulfport-Biloxi, MS Metropolitan Statistical Area",940
"Hattiesburg, MS Metropolitan Statistical Area",302
"Jackson, MS Metropolitan Statistical Area","1,873"
"Memphis, TN-MS-AR Metropolitan Statistical Area","5,502"
"Tupelo, MS Micropolitan Statistical Area",236
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
