Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Columbia, MO Metropolitan Statistical Area",295
"Jefferson City, MO Metropolitan Statistical Area",152
"Joplin, MO-KS Metropolitan Statistical Area",240
"Kansas City, MO-KS Metropolitan Statistical Area","4,247"
"Springfield, MO Metropolitan Statistical Area",703
"St. Joseph, MO-KS Metropolitan Statistical Area",181
"St. Louis, MO-IL Metropolitan Statistical Area","7,242"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
