Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Billings, MT Metropolitan Statistical Area",279
"Bozeman, MT Metropolitan Statistical Area",217
"Kalispell, MT Micropolitan Statistical Area",166
"Missoula, MT Metropolitan Statistical Area",167
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
