Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Lincoln, NE Metropolitan Statistical Area",423
"Omaha, NE-IA Metropolitan Statistical Area","1,580"
"Sioux City, IA-NE-SD Metropolitan Statistical Area",132
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
