Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Boston-Cambridge-Newton, MA-NH Metropolitan Statistical Area","19,929"
"Concord, NH Micropolitan Statistical Area",198
"Lebanon-Claremont, NH-VT Micropolitan Statistical Area",242
"Manchester-Nashua, NH Metropolitan Statistical Area",709
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
