Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","2,414"
"Atlantic City-Hammonton, NJ Metropolitan Statistical Area",872
"New York-Newark-Jersey City, NY-NJ Metropolitan Statistical Area","67,819"
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","28,438"
"Trenton-Princeton, NJ Metropolitan Statistical Area","1,112"
"Vineland, NJ Metropolitan Statistical Area",367
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
