Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Albuquerque, NM Metropolitan Statistical Area","1,563"
"Farmington, NM Metropolitan Statistical Area",109
"Las Cruces, NM Metropolitan Statistical Area",430
"Santa Fe, NM Metropolitan Statistical Area",192
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
