Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Albany-Schenectady-Troy, NY Metropolitan Statistical Area","1,719"
"Binghamton, NY Metropolitan Statistical Area",382
"Buffalo-Cheektowaga, NY Metropolitan Statistical Area","2,253"
"Glens Falls, NY Metropolitan Statistical Area",132
"Ithaca, NY Metropolitan Statistical Area",119
"Jamestown-Dunkirk, NY Micropolitan Statistical Area",157
"Kingston, NY Metropolitan Statistical Area",320
"Kiryas Joel-Poughkeepsie-Newburgh, NY Metropolitan Statistical Area","1,959"
"Massena-Ogdensburg, NY Micropolitan Statistical Area",100
"New York-Newark-Jersey City, NY-NJ Metropolitan Statistical Area","67,819"
"Rochester, NY Metropolitan Statistical Area","2,586"
"Syracuse, NY Metropolitan Statistical Area","1,038"
"Utica-Rome, NY Metropolitan Statistical Area",432
"Watertown-Fort Drum, NY Metropolitan Statistical Area",176
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
