Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Anderson Creek, NC Micropolitan Statistical Area",368
"Asheville, NC Metropolitan Statistical Area",813
"Burlington, NC Metropolitan Statistical Area",320
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","10,144"
"Durham-Chapel Hill, NC Metropolitan Statistical Area","1,348"
"Fayetteville, NC Metropolitan Statistical Area","1,268"
"Goldsboro, NC Metropolitan Statistical Area",251
"Greensboro-High Point, NC Metropolitan Statistical Area","1,880"
"Greenville, NC Metropolitan Statistical Area",592
"Hickory-Lenoir-Morganton, NC Metropolitan Statistical Area",532
"Jacksonville, NC Metropolitan Statistical Area",336
"Lumberton, NC Micropolitan Statistical Area",361
"New Bern, NC Micropolitan Statistical Area",196
"Pinehurst-Southern Pines, NC Metropolitan Statistical Area",162
"Raleigh-Cary, NC Metropolitan Statistical Area","4,150"
"Rocky Mount, NC Metropolitan Statistical Area",382
"Shelby-Kings Mountain, NC Micropolitan Statistical Area",218
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metropolitan Statistical Area","4,689"
"Wilmington, NC Metropolitan Statistical Area",855
"Winston-Salem, NC Metropolitan Statistical Area","1,279"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
