Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Bismarck, ND Metropolitan Statistical Area",153
"Fargo, ND-MN Metropolitan Statistical Area",378
"Grand Forks, ND-MN Metropolitan Statistical Area",100
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
