Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Akron, OH Metropolitan Statistical Area","1,720"
"Canton-Massillon, OH Metropolitan Statistical Area",723
"Cincinnati, OH-KY-IN Metropolitan Statistical Area","4,477"
"Cleveland, OH Metropolitan Statistical Area","7,115"
"Columbus, OH Metropolitan Statistical Area","6,805"
"Dayton-Kettering-Beavercreek, OH Metropolitan Statistical Area","1,984"
"Huntington-Ashland, WV-KY-OH Metropolitan Statistical Area",405
"Lima, OH Metropolitan Statistical Area",124
"Mansfield, OH Metropolitan Statistical Area",164
"Salem, OH Micropolitan Statistical Area",138
"Sandusky, OH Metropolitan Statistical Area",226
"Springfield, OH Metropolitan Statistical Area",300
"Toledo, OH Metropolitan Statistical Area","1,163"
"Weirton-Steubenville, WV-OH Metropolitan Statistical Area",130
"Wheeling, WV-OH Metropolitan Statistical Area",131
"Wooster, OH Micropolitan Statistical Area",127
"Youngstown-Warren, OH Metropolitan Statistical Area",865
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
