Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Fort Smith, AR-OK Metropolitan Statistical Area",302
"Lawton, OK Metropolitan Statistical Area",225
"Oklahoma City, OK Metropolitan Statistical Area","2,968"
"Tulsa, OK Metropolitan Statistical Area","1,935"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
