Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Albany, OR Metropolitan Statistical Area",184
"Bend, OR Metropolitan Statistical Area",374
"Eugene-Springfield, OR Metropolitan Statistical Area",605
"Medford, OR Metropolitan Statistical Area",345
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","4,548"
"Roseburg, OR Micropolitan Statistical Area",124
"Salem, OR Metropolitan Statistical Area",653
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
