Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Allentown-Bethlehem-Easton, PA-NJ Metropolitan Statistical Area","2,414"
"Altoona, PA Metropolitan Statistical Area",107
"Chambersburg, PA Metropolitan Statistical Area",185
"East Stroudsburg, PA Micropolitan Statistical Area",608
"Erie, PA Metropolitan Statistical Area",438
"Gettysburg, PA Metropolitan Statistical Area",119
"Harrisburg-Carlisle, PA Metropolitan Statistical Area","1,236"
"Hermitage, PA Micropolitan Statistical Area",141
"Johnstown, PA Metropolitan Statistical Area",171
"Lancaster, PA Metropolitan Statistical Area",805
"Lebanon, PA Metropolitan Statistical Area",243
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD Metropolitan Statistical Area","28,438"
"Pittsburgh, PA Metropolitan Statistical Area","4,571"
"Pottsville, PA Micropolitan Statistical Area",253
"Reading, PA Metropolitan Statistical Area","1,151"
"Scranton--Wilkes-Barre, PA Metropolitan Statistical Area","1,648"
"State College, PA Metropolitan Statistical Area",172
"Sunbury, PA Micropolitan Statistical Area",182
"Williamsport, PA Metropolitan Statistical Area",165
"York-Hanover, PA Metropolitan Statistical Area",895
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
