Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Aguadilla, PR Metropolitan Statistical Area",122
"Arecibo, PR Metropolitan Statistical Area",83
"Mayagüez, PR Metropolitan Statistical Area",76
"Ponce, PR Metropolitan Statistical Area",193
"San Juan-Bayamón-Caguas, PR Metropolitan Statistical Area","1,042"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
