Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Augusta-Richmond County, GA-SC Metropolitan Statistical Area","2,113"
"Charleston-North Charleston, SC Metropolitan Statistical Area","2,790"
"Charlotte-Concord-Gastonia, NC-SC Metropolitan Statistical Area","10,144"
"Columbia, SC Metropolitan Statistical Area","2,758"
"Florence, SC Metropolitan Statistical Area",640
"Greenville-Anderson-Greer, SC Metropolitan Statistical Area","2,525"
"Hilton Head Island-Bluffton-Port Royal, SC Metropolitan Statistical Area",448
"Myrtle Beach-Conway-North Myrtle Beach, SC Metropolitan Statistical Area",944
"Spartanburg, SC Metropolitan Statistical Area",972
"Sumter, SC Metropolitan Statistical Area",392
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
