Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Rapid City, SD Metropolitan Statistical Area",166
"Sioux City, IA-NE-SD Metropolitan Statistical Area",132
"Sioux Falls, SD-MN Metropolitan Statistical Area",352
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
