Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Chattanooga, TN-GA Metropolitan Statistical Area","1,135"
"Clarksville, TN-KY Metropolitan Statistical Area",730
"Cleveland, TN Metropolitan Statistical Area",201
"Cookeville, TN Micropolitan Statistical Area",165
"Jackson, TN Metropolitan Statistical Area",314
"Johnson City, TN Metropolitan Statistical Area",251
"Kingsport-Bristol, TN-VA Metropolitan Statistical Area",342
"Knoxville, TN Metropolitan Statistical Area","1,407"
"Memphis, TN-MS-AR Metropolitan Statistical Area","5,502"
"Morristown, TN Metropolitan Statistical Area",194
"Nashville-Davidson--Murfreesboro--Franklin, TN Metropolitan Statistical Area","4,470"
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
