Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Abilene, TX Metropolitan Statistical Area",327
"Amarillo, TX Metropolitan Statistical Area",535
"Austin-Round Rock-San Marcos, TX Metropolitan Statistical Area","7,473"
"Beaumont-Port Arthur, TX Metropolitan Statistical Area","1,487"
"Brownsville-Harlingen, TX Metropolitan Statistical Area",868
"College Station-Bryan, TX Metropolitan Statistical Area",490
"Corpus Christi, TX Metropolitan Statistical Area",967
"Dallas-Fort Worth-Arlington, TX Metropolitan Statistical Area","37,114"
"El Paso, TX Metropolitan Statistical Area","1,950"
"Houston-Pasadena-The Woodlands, TX Metropolitan Statistical Area","41,668"
"Killeen-Temple, TX Metropolitan Statistical Area","2,340"
"Laredo, TX Metropolitan Statistical Area",442
"Longview, TX Metropolitan Statistical Area",722
"Lubbock, TX Metropolitan Statistical Area",768
"McAllen-Edinburg-Mission, TX Metropolitan Statistical Area","1,867"
"Midland, TX Metropolitan Statistical Area",707
"Odessa, TX Metropolitan Statistical Area",782
"San Angelo, TX Metropolitan Statistical Area",235
"San Antonio-New Braunfels, TX Metropolitan Statistical Area","7,889"
"Sherman-Denison, TX Metropolitan Statistical Area",298
"Texarkana, TX-AR Metropolitan Statistical Area",317
"Tyler, TX Metropolitan Statistical Area",544
"Waco, TX Metropolitan Statistical Area",701
"Wichita Falls, TX Metropolitan Statistical Area",375
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
