Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Logan, UT-ID Metropolitan Statistical Area",168
"Ogden, UT Metropolitan Statistical Area",895
"Provo-Orem-Lehi, UT Metropolitan Statistical Area","1,042"
"Salt Lake City-Murray, UT Metropolitan Statistical Area","2,212"
"St. George, UT Metropolitan Statistical Area",372
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
