Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Blacksburg-Christiansburg-Radford, VA Metropolitan Statistical Area",155
"Charlottesville, VA Metropolitan Statistical Area",300
"Danville, VA Micropolitan Statistical Area",152
"Harrisonburg, VA Metropolitan Statistical Area",155
"Kingsport-Bristol, TN-VA Metropolitan Statistical Area",342
"Lynchburg, VA Metropolitan Statistical Area",429
"Richmond, VA Metropolitan Statistical Area","3,637"
"Roanoke, VA Metropolitan Statistical Area",488
"Staunton-Stuarts Draft, VA Metropolitan Statistical Area",146
"Virginia Beach-Chesapeake-Norfolk, VA-NC Metropolitan Statistical Area","4,689"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Statistical Area","19,689"
"Winchester, VA-WV Metropolitan Statistical Area",191
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
