Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Bellingham, WA Metropolitan Statistical Area",350
"Bremerton-Silverdale-Port Orchard, WA Metropolitan Statistical Area",370
"Kennewick-Richland, WA Metropolitan Statistical Area",385
"Longview-Kelso, WA Metropolitan Statistical Area",135
"Moses Lake, WA Micropolitan Statistical Area",110
"Mount Vernon-Anacortes, WA Metropolitan Statistical Area",146
"Olympia-Lacey-Tumwater, WA Metropolitan Statistical Area",525
"Portland-Vancouver-Hillsboro, OR-WA Metropolitan Statistical Area","4,548"
"Seattle-Tacoma-Bellevue, WA Metropolitan Statistical Area","7,838"
"Spokane-Spokane Valley, WA Metropolitan Statistical Area","1,063"
"Wenatchee-East Wenatchee, WA Metropolitan Statistical Area",132
"Yakima, WA Metropolitan Statistical Area",249
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
