Metropolitan Areas: Identity Theft Reports,
,
Metropolitan Area,# of Reports
"Appleton, WI Metropolitan Statistical Area",276
"Duluth, MN-WI Metropolitan Statistical Area",269
"Eau Claire, WI Metropolitan Statistical Area",159
"Fond du Lac, WI Metropolitan Statistical Area",103
"Green Bay, WI Metropolitan Statistical Area",350
"Janesville-Beloit, WI Metropolitan Statistical Area",242
"Kenosha, WI Metropolitan Statistical Area",250
"La Crosse-Onalaska, WI-MN Metropolitan Statistical Area",152
"Madison, WI Metropolitan Statistical Area","1,123"
"Milwaukee-Waukesha, WI Metropolitan Statistical Area","3,882"
"Minneapolis-St. Paul-Bloomington, MN-WI Metropolitan Statistical Area","5,552"
"Oshkosh-Neenah, WI Metropolitan Statistical Area",207
"Racine-Mount Pleasant, WI Metropolitan Statistical Area",306
"Sheboygan, WI Metropolitan Statistical Area",118
"Wausau, WI Metropolitan Statistical Area",109
"Whitewater-Elkhorn, WI Micropolitan Statistical Area",118
,
"Metropolitan Areas are defined by the Office of Management and Budget, and population estimates are based on 2023 U.S. Census figures. Metropolitan Areas are ranked based on the number of reports per 100,000 population.",
,
"Source: Consumer Sentinel Network Data Book 2024, Federal Trade Commission",
