State,Total Acres Burned,Population
Alabama,20978.0,5157699
Alaska,667075.0,740133
Arizona,282989.0,7582384
Arkansas,25444.0,3088354
California,1081144.0,39431263
Colorado,60539.0,5957493
Connecticut,339.0,3675069
Delaware,137.0,1051917
District of Columbia,,702250
Florida,65618.0,23372215
Georgia,11896.0,11180878
Hawaii,452.0,1446146
Idaho,996762.0,2001619
Illinois,441.0,12710158
Indiana,154.0,6924275
Iowa,3965.0,3241488
Kansas,22217.0,2970606
Kentucky,24448.0,4588372
Louisiana,9058.0,4597740
Maine,295.0,1405012
Maryland,965.0,6263220
Massachusetts,4622.0,7136171
Michigan,2062.0,10140459
Minnesota,15125.0,5793151
Mississippi,55880.0,2943045
Missouri,95095.0,6245466
Montana,352491.0,1137233
Nebraska,113850.0,2005465
Nevada,70410.0,3267467
New Hampshire,127.0,1409032
New Jersey,12449.0,9500851
New Mexico,82531.0,2130256
New York,6496.0,19867248
North Carolina,18233.0,11046024
North Dakota,173237.0,796568
Ohio,2441.0,11883304
Oklahoma,383592.0,4095393
Oregon,1797796.0,4272371
Pennsylvania,3792.0,13078751
Puerto Rico,,3203295
Rhode Island,75.0,1112308
South Carolina,634.0,5478831
South Dakota,35809.0,924669
Tennessee,7771.0,7227750
Texas,1314903.0,31290831
Utah,90417.0,3503613
Vermont,180.0,648493
Virginia,56372.0,8811195
Washington,275593.0,7958180
West Virginia,55309.0,1769979
Wisconsin,2597.0,5960975
Wyoming,620069.0,587618
