start_year,region_ind,incident_number,avrh_mean,wind_med,erc_med,rain_sum,region,state,incident_name,cause,dominant_strategy_25_s,dominant_strategy_50_s,dominant_strategy_75_s,subdom_strategy,start_date,controlled_date,duration,prim_threatened_aggregate,comm_threatened_aggregate,outb_threatened_aggregate,injuries_to_date_last,fatalities_last,latitude,longitude,start_day_of_year,control_year,control_day_of_year,gt_100,dom_strat_ind_75,dom_strat_ind_25,dom_strat_ind_50,station_verified_in_psa,hec,cause_ind,total_fire_region,total_fire_west
2002,6,CA-ANF-3518,39,6,77,0,California,CA,williams/curve complex,U,Full Suppression,Full Suppression,Full Suppression,,9/22/2002,10/15/2002,24,33100,180,15903,4,0,34,-118,265,2002,288,1,0,0,0,45421,15417,0,99,403
2002,6,CA-AEU-16666,46,1,56,0,California,CA,sly park vmp,N,Full Suppression,Full Suppression,Full Suppression,,10/21/2002,10/21/2002,1,0,0,0,0,0,39,-121,294,2002,294,1,0,0,0,42603,81,0,99,403
2002,6,CA-LAC02172482,19,18,24,0,California,CA,cherry,U,Full Suppression,Full Suppression,Full Suppression,,8/25/2002,8/27/2002,3,0,0,0,0,0,35,-118,237,2002,239,1,0,0,0,45440,49,0,99,403
2002,6,CA-ANF-001751,60,6,26,0,California,CA,susanna,H,Full Suppression,Full Suppression,Full Suppression,,6/3/2002,6/8/2002,6,30,15,25,3,0,34,-118,154,2002,159,1,0,0,0,45421,51,1,99,403
2002,6,CA-INF-602,25,7,20,0,California,CA,birch,H,Full Suppression,Full Suppression,Full Suppression,,7/1/2002,7/6/2002,6,400,10,0,0,0,38,-119,182,2002,187,1,0,0,0,43710,1062,1,99,403
2002,6,MEU-9470,63,2,23,8,California,CA,ten mile,H,Full Suppression,Full Suppression,Full Suppression,,10/28/2002,11/30/2002,34,0,0,0,1,0,40,-124,301,2002,334,1,0,0,0,41019,49,1,99,403
2002,6,CA-LAC-2111675,49,9,25,0,California,CA,ridge,U,Full Suppression,Full Suppression,Full Suppression,,6/4/2002,6/5/2002,2,0,0,0,0,0,35,-119,155,2002,156,1,0,0,0,45445,41,0,99,403
2002,6,CA-MVU-004595,29,9,108,0,California,CA,manzanita,U,Full Suppression,Full Suppression,Full Suppression,,6/24/2002,6/25/2002,2,33,0,0,0,0,33,-116,175,2002,176,1,0,0,0,45704,85,0,99,403
2002,6,CA-SQF-1009,40,5,50,0,California,CA,rocky,U,Full Suppression,Full Suppression,Full Suppression,,6/2/2002,6/4/2002,3,0,0,0,0,0,35,-119,153,2002,155,1,0,0,0,45002,202,0,99,403
2002,6,CA-LAC-0210268,31,12,29,0,California,CA,shannon,U,Full Suppression,Full Suppression,Full Suppression,,5/23/2002,5/23/2002,1,0,0,0,1,0,35,-118,143,2002,143,1,0,0,0,45438,145,0,99,403
2002,6,CA-AFV-0364,74,13,19,0,California,CA,sudden ranch,U,Full Suppression,Full Suppression,Full Suppression,,6/15/2002,6/20/2002,6,75,400,17,6,0,35,-121,166,2002,171,1,0,0,0,45220,3150,0,99,403
2002,6,CA-BDF-5183,51,7,44,0,California,CA,bluecut,H,Full Suppression,Full Suppression,Full Suppression,,6/16/2002,6/26/2002,11,6000,0,0,6,0,34,-117,167,2002,177,1,0,0,0,45113,2778,1,99,403
2002,6,CA-SLU-2909,69,6,0,0,California,CA,davis,U,Full Suppression,Full Suppression,Full Suppression,,6/9/2002,6/10/2002,2,0,0,0,0,0,36,-120,160,2002,161,1,0,0,0,44310,858,0,99,403
2002,6,CA-KNF-2988,33,0,80,0,California,CA,stanza,L,Full Suppression,Full Suppression,Full Suppression,,7/22/2002,8/9/2002,19,4,0,18,4,3,42,-123,203,2002,221,1,0,0,0,40225,1166,0,99,403
2002,6,CA-BTU-006327,24,11,32,0,California,CA,skyway,U,Full Suppression,Full Suppression,Full Suppression,,6/8/2002,6/10/2002,3,75,2,0,0,0,40,-122,159,2002,161,1,0,0,0,41211,405,0,99,403
2002,6,CA-LPF-1537,58,8,37,0,California,CA,poppy,H,Full Suppression,Full Suppression,Full Suppression,,8/19/2002,8/24/2002,6,0,0,0,0,0,36,-121,231,2002,236,1,0,0,0,44301,61,1,99,403
2002,6,CA-ANF-1767,48,16,22,0,California,CA,copper,H,Full Suppression,Full Suppression,Full Suppression,,6/6/2002,6/7/2002,2,1248,0,48,2,0,34,-119,157,2002,158,1,0,0,0,45412,9473,1,99,403
2002,6,CA-BEU-3023,18,11,115,0,California,CA,ft. hunter liggett assist #2,H,Full Suppression,Full Suppression,Full Suppression,,8/10/2002,8/11/2002,2,0,0,0,0,0,36,-121,222,2002,223,1,0,0,0,44409,567,1,99,403
2002,6,CA-BDF-4803,52,9,38,0,California,CA,arrowhead,U,Full Suppression,Full Suppression,Full Suppression,,5/31/2002,6/7/2002,8,3500,0,0,3,0,34,-117,151,2002,158,1,0,0,0,45113,1088,0,99,403
2002,6,CA-MVU-05658,39,8,78,0,California,CA,pines,H,Full Suppression,Full Suppression,Full Suppression,,7/29/2002,8/22/2002,25,5935,300,1201,44,0,33,-117,210,2002,234,1,0,0,0,45708,24966,1,99,403
2002,6,CA-KNF-3049,46,1,62,0,California,CA,eagle,U,Full Suppression,Full Suppression,Full Suppression,,7/25/2002,7/28/2002,4,65,0,0,0,0,42,-123,206,2002,209,1,0,0,0,40218,75,0,99,403
2002,6,CA-MVU-006542,34,9,86,0,California,CA,woodland,U,Full Suppression,Full Suppression,Full Suppression,,8/27/2002,8/28/2002,2,50,0,25,0,0,33,-117,239,2002,240,1,0,0,0,45708,112,0,99,403
2002,6,CA-FKU-005607,40,4,43,0,California,CA,tivy,U,Full Suppression,Full Suppression,Full Suppression,,5/9/2002,5/10/2002,2,10,0,6,0,0,37,-119,129,2002,130,1,0,0,0,44516,243,0,99,403
2002,6,CA-SQF-1139,38,7,85,0,California,CA,borel,U,Full Suppression,Full Suppression,Full Suppression,,6/15/2002,6/26/2002,12,400,20,0,1,0,36,-119,166,2002,177,1,0,0,0,45002,1389,0,99,403
